1159257941469532160,DiverCityMx,En la #CDMX hay casi 18 mil alojamientos de #Airbnb concentrados en colonias donde vecinos e inquilinos son desplazados por el incremento en los costos del alquiler. ¿Qué otros problemas ha generado la turistificación de la ciudad? Descúbrelo en #RevistaChilango agosto. Vía #Chi,2019-08-08 00:20:05+00:00,3,0,#CDMX #Airbnb #RevistaChilango #Chi,San Cristobal
1159222763393040384,ChilangoCom,En la #CDMX hay casi 18 mil alojamientos de #Airbnb concentrados en colonias donde vecinos e inquilinos son desplazados por el incremento en los costos del alquiler. ¿Qué otros problemas ha generado la turistificación de la ciudad? Descúbrelo en #RevistaChilango agosto.pic.twitter.com/q8fUHfMY44,2019-08-07 22:00:18+00:00,22,3,#CDMX #Airbnb #RevistaChilango,San Cristobal
1159222561688956928,cohetemedina,Buscan cobrar 10000 mdp de IVA a empresas como Uber Airbnb Netflix y Spotify https://www.forbes.com.mx/buscan-cobrar-10000-mdp-de-iva-a-empresas-como-uber-airbnb-netflix-y-spotify/ …,2019-08-07 21:59:30+00:00,1,0,,San Cristobal
1159211031647813637,CorazonMORENAMx,AMLO descarta cobrar IVA a plataformas como Amazon Uber o Airbnb http://dlvr.it/R9rq4s pic.twitter.com/jJWcKVhc9Y,2019-08-07 21:13:41+00:00,0,0,,San Cristobal
1159184094636511233,Davite_r,La neta URGE cabrón que se regule el uso de suelo para plataformas como Airbnb; entre las inmobiliarias la gentrificación y esto nos estamos quedando sin lugares para vivir. “Me sacaron de casa; será Airbnb”: así se turistifica la CDMX http://www.chilango.com/noticias/reportajes/airbnb-en-la-cdmx/ … vía @ChilangoCom,2019-08-07 19:26:39+00:00,2,0,,San Cristobal
1159181110372438016,Forbes_Mexico,Los Diputados han salido a la caza de los 10000 millones de pesos en impuestos que plataformas como Uber y Airbnb se 'ahorran' cada año ¿Qué te parece? Por: @Vyridiana https://enforb.es/2OLFzcN,2019-08-07 19:14:47+00:00,21,5,,San Cristobal
1159176700309250048,OrtizYo,¿Has probado Airbnb? Regístrate a través de mi enlace y conseguirás hasta $963 MXN de descuento en tu primer viaje. https://es.airbnb.com/c/ortizr21?s=5&shared_item_type=9&virality_entry_point=13 …,2019-08-07 18:57:16+00:00,1,0,,San Cristobal
1159162619099570177,889Noticias,La @ProdeconMexico y la Comisión de Presupuesto de la Cámara de Diputados firmaron un convenio el cual propone actualizar la Ley del IVA por los servicios que prestan Uber Netflix y AirBnB y retenerles el 10% del IVA para combatir facturación falsa #MaríaInésContigopic.twitter.com/wJsDjC5U9u,2019-08-07 18:01:19+00:00,1,1,#MaríaInésContigopic,San Cristobal
1159097585539248128,JoseVictor_Rdz,Ya hice la tarea...! (uffff),2019-08-07 13:42:54+00:00,0,0,,San Cristobal
1158859760252411904,psskow,Mexico City has an AirBnB problem. Aquí los datos duros en Chilango https://www.chilango.com/noticias/reportajes/airbnb-en-la-cdmx/ …,2019-08-06 21:57:52+00:00,12,5,,San Cristobal
1158770198503202816,ChilangoCom,Aventuras en scape rooms fiestas de la vendimia un festival de yoga reportajes sobre robots sexuales el impacto de Airbnb en colonias como la Juárez un paseo por la antigua Tenochtitlán qué hacer en la ciudad este mes y mucho más en las páginas de #RevistaChilango agosto.pic.twitter.com/cTKoh7XXC5,2019-08-06 16:01:58+00:00,29,4,#RevistaChilango,San Cristobal
1158770039430012930,HOTBOOKmagazine,¿Te imaginas hospedarte en una villa privada en la Polinesia Francesa en tus próximas vacaciones? Con Airbnb Luxe puedes hacerlo. Descubre todo sobre la nueva plataforma y sobre sus alojamientos más sorprendentes. #HOTbooking https://hotbook.com.mx/airbnb-luxe/ pic.twitter.com/JJO1pJw0ur,2019-08-06 16:01:20+00:00,0,0,#HOTbooking,San Cristobal
1158739734627344385,ChilangoCom,Airbnb está encargándose de que el turismo reemplace los barrios originales de la ciudad. https://www.chilango.com/noticias/reportajes/airbnb-en-la-cdmx/ …,2019-08-06 14:00:55+00:00,20,10,,San Cristobal
1158574804548689920,MeDicenPolola,#1: Maldita gentrificación :( #2: Uuuuurrrrge regulación de los AirBnB https://twitter.com/06000Observa/status/1158382259327492096 …,2019-08-06 03:05:33+00:00,10,4,#1 #2,San Cristobal
1158574359864315907,patipenaloza,AirBNB y gentrificación están obligando a desalojar a gente mayor q lleva toda la vida en Cuauhtémoc B.Juárez M. Hidalgo y Coyoacán. Está destruyendo el tejido social de los barrios de #CDMX. Es más grave de lo que parece este "blanqueamiento" https://www.chilango.com/noticias/reportajes/airbnb-en-la-cdmx/?fbclid=IwAR2s3gd99t_hwJ35tYM_XDLc6EQOn5PF3Ck_fW6XTmEn6z0BD_iUVfPl0wQ …,2019-08-06 03:03:47+00:00,25,20,#CDMX,San Cristobal
1158572004200648704,angvalenz,Pues dime en Airbnb salen muy caros con tan poco tiempo de anticipación.,2019-08-06 02:54:25+00:00,0,0,,San Cristobal
1158541788761808896,lapayolaradio,LIVE PODCAST: La pérdida de la propiedad on @Spreaker #airbnb #consumo #millenials #propiedad #tecnologiahttps://www.spreaker.com/user/payolaradio/la-perdida-de-la-propiedad?autoplay=1 …,2019-08-06 00:54:21+00:00,1,1,#airbnb #consumo #millenials #propiedad #tecnologiahttps,San Cristobal
1158509561197654016,Culturosa_,"Me sacaron de casa; será Airbnb": así se turistifica la CDMX https://www.chilango.com/noticias/reportajes/airbnb-en-la-cdmx/ …,2019-08-05 22:46:18+00:00,1,0,,San Cristobal
1158484696919150595,Davo7412,¿Has probado Airbnb? Regístrate a través de mi enlace y conseguirás hasta $963 MXN de descuento en tu primer viaje. https://abnb.me/e/8cy8pGZLUY,2019-08-05 21:07:30+00:00,0,0,,San Cristobal
1158483316506578944,javiercobuelo,"Me sacaron de casa; será Airbnb": así se turistifica la CDMX https://www.chilango.com/noticias/reportajes/airbnb-en-la-cdmx/ …,2019-08-05 21:02:00+00:00,0,0,,San Cristobal
1158448710306525184,RulishFlamenco,¡Échale un vistazo a los alojamientos que Raul tiene en Airbnb! https://es.airbnb.com/users/64804502/listings?user_id=64804502&s=5 …,2019-08-05 18:44:30+00:00,0,0,,San Cristobal
1158382061339598848,Angel_JoachinR,Así es Swimmy el ‘Airbnb de las piscinas’ que acaba de llegar a España http://dlvr.it/R9j6qR pic.twitter.com/Wf6rmxINa7,2019-08-05 14:19:39+00:00,0,0,,San Cristobal
1158236975033270274,Guzman_susej,Me sacaron de casa; será Airbnb: así se turistifica la CDMX http://dlvr.it/R9gkrX pic.twitter.com/eSVn9YK19P,2019-08-05 04:43:08+00:00,0,0,,San Cristobal
1158224391819235328,MatildeTames,Me sacaron de casa; será Airbnb: así se turistifica la CDMX http://dlvr.it/R9gg1k pic.twitter.com/tDhrlFRY6t,2019-08-05 03:53:08+00:00,0,0,,San Cristobal
